,Bob,EV,Alice
0,10.0,-2.0,
1,10.0,-1.9,
2,10.0,-1.8,
3,10.0,-1.7,
4,10.0,-1.6,
5,10.0,-1.5,
6,10.0,-1.4,
7,10.0,-1.2999999999999998,
8,10.0,-1.2,
9,10.0,-1.1,
10,9.0,-1.0,1.0
11,9.0,-0.8999999999999999,1.0
12,10.0,-0.7999999999999998,
13,8.0,-0.7,2.0
14,6.0,-0.5999999999999999,4.0
15,10.0,-0.5,
16,10.0,-0.3999999999999999,
17,4.0,-0.2999999999999998,6.0
18,8.0,-0.19999999999999996,2.0
19,4.0,-0.09999999999999987,6.0
20,4.0,0.0,6.0
21,8.0,0.10000000000000009,2.0
22,6.0,0.20000000000000018,4.0
23,5.0,0.30000000000000027,5.0
24,9.0,0.40000000000000036,1.0
25,7.0,0.5,3.0
26,10.0,0.6000000000000001,
27,7.0,0.7000000000000002,3.0
28,9.0,0.8000000000000003,1.0
29,9.0,0.9000000000000004,1.0
30,10.0,1.0,
31,10.0,1.1,
32,10.0,1.2000000000000002,
33,10.0,1.3000000000000003,
34,10.0,1.4000000000000004,
35,10.0,1.5,
36,10.0,1.6,
37,10.0,1.7000000000000002,
38,10.0,1.8000000000000003,
39,10.0,1.9000000000000004,
40,10.0,2.0,
